,coop_membership
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,1
15,1
16,1
17,1
18,1
19,1
20,2
21,1
22,1
23,1
24,1
25,1
26,2
27,2
28,1
29,1
30,2
31,2
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,2
41,1
42,2
43,1
44,2
45,1
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,1
59,1
60,2
61,1
62,1
63,2
64,2
65,2
66,2
67,2
68,1
69,1
70,1
71,2
72,1
73,1
74,1
75,1
76,1
77,2
78,2
79,1
80,1
81,2
82,1
83,2
84,2
85,1
86,2
87,1
88,1
89,2
90,1
91,2
92,1
93,1
94,2
95,1
96,2
97,1
98,1
99,2
100,1
101,1
102,2
103,1
104,2
105,1
106,1
107,1
108,1
109,1
110,2
111,1
112,1
113,1
114,1
115,2
116,2
117,1
118,1
119,1
120,2
121,1
122,1
123,1
124,2
125,2
126,2
127,1
128,1
129,2
130,2
131,1
132,2
133,1
134,2
135,2
136,2
137,1
138,1
139,1
140,1
141,1
142,1
143,2
144,1
145,1
146,1
147,2
148,1
149,1
150,2
151,1
152,2
153,2
154,1
155,2
156,1
157,1
158,2
159,2
160,2
161,1
162,2
163,2
164,2
165,2
166,2
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,2
175,1
176,1
177,1
178,2
179,1
180,1
181,2
182,2
183,1
184,2
185,2
186,1
187,2
188,1
189,2
190,1
191,1
192,1
193,2
194,1
195,1
196,2
197,2
198,1
199,2
200,2
201,2
202,1
203,1
204,1
205,2
206,2
